symbol,,exchange,company
AAV,AAV.to,TSX,Advantage Oil & Gas Ltd.
ARE,ARE.to,TSX,Aecon Group Inc.
AEM,AEM.to,TSX,Agnico Eagle Mines Limited
AC,AC.to,TSX,Air Canada
ASR,ASR.to,TSX,Alacer Gold Corp.
AGI,AGI.to,TSX,Alamos Gold Inc.
AD,AD.to,TSX,Alaris Royalty Corp.
AQN,AQN.to,TSX,Algonquin Power & Utilities Corp.
ATD-B,ATD-B.to,TSX,Alimentation Couche-Tard Inc.
AP-UN,AP-UN.to,TSX,Allied Properties Real Estate Investment Trust
ALA,ALA.to,TSX,AltaGas Ltd.
AIF,AIF.to,TSX,Altus Group Limited
APH,APH.to,TSX,Aphria Inc.
ARX,ARX.to,TSX,ARC Resources Ltd.
AX-UN,AX-UN.to,TSX,Artis Real Estate Investment Trust
ACO-X,ACO-X.to,TSX,ATCO Ltd.
ATA,ATA.to,TSX,ATS Automation Tooling Systems Inc.
ACB,ACB.to,TSX,Aurora Cannabis Inc.
BTO,BTO.to,TSX,B2Gold Corp.
BAD,BAD.to,TSX,Badger Daylighting Ltd.
BMO,BMO.to,TSX,Bank of Montreal
BNS,BNS.to,TSX,Bank of Nova Scotia
ABX,ABX.to,TSX,Barrick Gold Corporation
BTE,BTE.to,TSX,Baytex Energy Corp.
BCE,BCE.to,TSX,BCE Inc.
BIR,BIR.to,TSX,Birchcliff Energy Ltd.
BB,BB.to,TSX,BlackBerry Limited
BEI-UN,BEI-UN.to,TSX,Boardwalk Real Estate Investment Trust
BBD-B,BBD-B.to,TSX,Bombardier Inc.
BLX,BLX.to,TSX,Boralex Inc.
BYD-UN,BYD-UN.to,TSX,Boyd Group Income Fund
BAM-A,BAM-A.to,TSX,Brookfield Asset Management Inc.
BBU-UN,BBU-UN.to,TSX,Brookfield Business Partners L.P.
BIP-UN,BIP-UN.to,TSX,Brookfield Infrastructure Partners L.P.
BPY-UN,BPY-UN.to,TSX,Brookfield Property Partners L.P.
BEP-UN,BEP-UN.to,TSX,Brookfield Renewable Partners L.P.
DOO,DOO.to,TSX,BRP Inc.
CAE,CAE.to,TSX,CAE Inc.
CCO,CCO.to,TSX,Cameco Corporation
GOOS,GOOS.to,TSX,Canada Goose Holdings Inc.
CAR-UN,CAR-UN.to,TSX,Canadian Apartment Properties Real Estate Investment Trust
CM,CM.to,TSX,Canadian Imperial Bank of Commerce
CNR,CNR.to,TSX,Canadian National Railway Company
CNQ,CNQ.to,TSX,Canadian Natural Resources Limited
CP,CP.to,TSX,Canadian Pacific Railway Limited
CTC-A,CTC-A.to,TSX,Canadian Tire Corporation Limited
CU,CU.to,TSX,Canadian Utilities Limited
CWB,CWB.to,TSX,Canadian Western Bank
CFP,CFP.to,TSX,Canfor Corporation
WEED,WEED.to,TSX,Canopy Growth Corporation
CPX,CPX.to,TSX,Capital Power Corporation
CAS,CAS.to,TSX,Cascades Inc.
CCL-B,CCL-B.to,TSX,CCL Industries Inc.
CLS,CLS.to,TSX,Celestica Inc.
CVE,CVE.to,TSX,Cenovus Energy Inc.
CG,CG.to,TSX,Centerra Gold Inc.
CEU,CEU.to,TSX,CES Energy Solutions Corp.
GIB-A,GIB-A.to,TSX,CGI Group Inc.
CSH-UN,CSH-UN.to,TSX,Chartwell Retirement Residences
CHE-UN,CHE-UN.to,TSX,Chemtrade Logistics Income Fund
CHP-UN,CHP-UN.to,TSX,Choice Properties Real Estate Investment Trust
CHR,CHR.to,TSX,Chorus Aviation Inc.
CIX,CIX.to,TSX,CI Financial Corp.
CGX,CGX.to,TSX,Cineplex Inc.
CCA,CCA.to,TSX,Cogeco Communications Inc.
CIGI,CIGI.to,TSX,Colliers International Group Inc.
CUF-UN,CUF-UN.to,TSX,Cominar Real Estate Investment Trust
CMG,CMG.to,TSX,Computer Modelling Group Ltd.
CSU,CSU.to,TSX,Constellation Software Inc.
CJR-B,CJR-B.to,TSX,Corus Entertainment Inc.
BCB,BCB.to,TSX,Cott Corporation
CPG,CPG.to,TSX,Crescent Point Energy Corp.
CRR-UN,CRR-UN.to,TSX,Crombie Real Estate Investment Trust
DSG,DSG.to,TSX,Descartes Systems Group Inc.
DGC,DGC.to,TSX,Detour Gold Corporation
DOL,DOL.to,TSX,Dollarama Inc.
DII-B,DII-B.to,TSX,Dorel Industries Inc.
DRG-UN,DRG-UN.to,TSX,Dream Global Real Estate Investment Trust
D-UN,D-UN.to,TSX,Dream Office Real Estate Investment Trust
ECN,ECN.to,TSX,ECN Capital Corp.
ELD,ELD.to,TSX,Eldorado Gold Corporation
EFN,EFN.to,TSX,Element Fleet Management Corp.
EMA,EMA.to,TSX,Emera Incorporated
EMP-A,EMP-A.to,TSX,Empire Company Limited
ENB,ENB.to,TSX,Enbridge Inc.
ENF,ENF.to,TSX,Enbridge Income Fund Holdings Inc.
ECA,ECA.to,TSX,Encana Corporation
EDV,EDV.to,TSX,Endeavour Mining Corporation
ECI,ECI.to,TSX,EnerCare Inc.
EFX,EFX.to,TSX,Enerflex Ltd.
ERF,ERF.to,TSX,Enerplus Corporation
ENGH,ENGH.to,TSX,Enghouse Systems Limited
ESI,ESI.to,TSX,Ensign Energy Services Inc.
EIF,EIF.to,TSX,Exchange Income Corporation
EXE,EXE.to,TSX,Extendicare Real Estate Investment Trust
FFH,FFH.to,TSX,Fairfax Financial Holdings Limited
FTT,FTT.to,TSX,Finning International Inc.
FCR,FCR.to,TSX,First Capital Realty Inc.
FR,FR.to,TSX,First Majestic Silver Corp.
