symbol,exchange,company
AAV,TSX,Advantage Oil & Gas Ltd.
ARE,TSX,Aecon Group Inc.
AEM,TSX,Agnico Eagle Mines Limited
AC,TSX,Air Canada
ASR,TSX,Alacer Gold Corp.
AGI,TSX,Alamos Gold Inc.
AD,TSX,Alaris Royalty Corp.
AQN,TSX,Algonquin Power & Utilities Corp.
ATD.B,TSX,Alimentation Couche-Tard Inc.
AP.UN,TSX,Allied Properties Real Estate Investment Trust
ALA,TSX,AltaGas Ltd.
AIF,TSX,Altus Group Limited
APH,TSX,Aphria Inc.
ARX,TSX,ARC Resources Ltd.
AX.UN,TSX,Artis Real Estate Investment Trust
ACO.X,TSX,ATCO Ltd.
ATA,TSX,ATS Automation Tooling Systems Inc.
ACB,TSX,Aurora Cannabis Inc.
BTO,TSX,B2Gold Corp.
BAD,TSX,Badger Daylighting Ltd.
BMO,TSX,Bank of Montreal
BNS,TSX,Bank of Nova Scotia
ABX,TSX,Barrick Gold Corporation
BTE,TSX,Baytex Energy Corp.
BCE,TSX,BCE Inc.
BIR,TSX,Birchcliff Energy Ltd.
BB,TSX,BlackBerry Limited
BEI.UN,TSX,Boardwalk Real Estate Investment Trust
BBD.B,TSX,Bombardier Inc.
BLX,TSX,Boralex Inc.
BYD.UN,TSX,Boyd Group Income Fund
BAM.A,TSX,Brookfield Asset Management Inc.
BBU.UN,TSX,Brookfield Business Partners L.P.
BIP.UN,TSX,Brookfield Infrastructure Partners L.P.
BPY.UN,TSX,Brookfield Property Partners L.P.
BEP.UN,TSX,Brookfield Renewable Partners L.P.
DOO,TSX,BRP Inc.
CAE,TSX,CAE Inc.
CCO,TSX,Cameco Corporation
GOOS,TSX,Canada Goose Holdings Inc.
CAR.UN,TSX,Canadian Apartment Properties Real Estate Investment Trust
CM,TSX,Canadian Imperial Bank of Commerce
CNR,TSX,Canadian National Railway Company
CNQ,TSX,Canadian Natural Resources Limited
CP,TSX,Canadian Pacific Railway Limited
CTC.A,TSX,Canadian Tire Corporation Limited
CU,TSX,Canadian Utilities Limited
CWB,TSX,Canadian Western Bank
CFP,TSX,Canfor Corporation
WEED,TSX,Canopy Growth Corporation
CPX,TSX,Capital Power Corporation
CAS,TSX,Cascades Inc.
CCL.B,TSX,CCL Industries Inc.
CLS,TSX,Celestica Inc.
CVE,TSX,Cenovus Energy Inc.
CG,TSX,Centerra Gold Inc.
CEU,TSX,CES Energy Solutions Corp.
GIB.A,TSX,CGI Group Inc.
CSH.UN,TSX,Chartwell Retirement Residences
CHE.UN,TSX,Chemtrade Logistics Income Fund
CHP.UN,TSX,Choice Properties Real Estate Investment Trust
CHR,TSX,Chorus Aviation Inc.
CIX,TSX,CI Financial Corp.
CGX,TSX,Cineplex Inc.
CCA,TSX,Cogeco Communications Inc.
CIGI,TSX,Colliers International Group Inc.
CUF.UN,TSX,Cominar Real Estate Investment Trust
CMG,TSX,Computer Modelling Group Ltd.
CSU,TSX,Constellation Software Inc.
CJR.B,TSX,Corus Entertainment Inc.
BCB,TSX,Cott Corporation
CPG,TSX,Crescent Point Energy Corp.
CRR.UN,TSX,Crombie Real Estate Investment Trust
DSG,TSX,Descartes Systems Group Inc.
DGC,TSX,Detour Gold Corporation
DOL,TSX,Dollarama Inc.
DII.B,TSX,Dorel Industries Inc.
DRG.UN,TSX,Dream Global Real Estate Investment Trust
D.UN,TSX,Dream Office Real Estate Investment Trust
ECN,TSX,ECN Capital Corp.
ELD,TSX,Eldorado Gold Corporation
EFN,TSX,Element Fleet Management Corp.
EMA,TSX,Emera Incorporated
EMP.A,TSX,Empire Company Limited
ENB,TSX,Enbridge Inc.
ENF,TSX,Enbridge Income Fund Holdings Inc.
ECA,TSX,Encana Corporation
EDV,TSX,Endeavour Mining Corporation
ECI,TSX,EnerCare Inc.
EFX,TSX,Enerflex Ltd.
ERF,TSX,Enerplus Corporation
ENGH,TSX,Enghouse Systems Limited
ESI,TSX,Ensign Energy Services Inc.
EIF,TSX,Exchange Income Corporation
EXE,TSX,Extendicare Real Estate Investment Trust
FFH,TSX,Fairfax Financial Holdings Limited
FTT,TSX,Finning International Inc.
FCR,TSX,First Capital Realty Inc.
FR,TSX,First Majestic Silver Corp.
FM,TSX,First Quantum Minerals Ltd.
FSV,TSX,FirstService Corporation
FTS,TSX,Fortis Inc.
FVI,TSX,Fortuna Silver Mines Inc.
FNV,TSX,Franco-Nevada Corporation
FRU,TSX,Freehold Royalties Ltd.
MIC,TSX,Genworth MI Canada Inc.
WN,TSX,George Weston Limited
GEI,TSX,Gibson Energy Inc.
GIL,TSX,Gildan Activewear Inc.
G,TSX,Goldcorp Inc.
GTE,TSX,Gran Tierra Energy Inc.
GRT.UN,TSX,Granite Real Estate Investment Trust
GC,TSX,Great Canadian Gaming Corporation
GWO,TSX,Great-West Lifeco Inc.
GUY,TSX,Guyana Goldfields Inc.
HR.UN,TSX,H&R Real Estate Investment Trust
HCG,TSX,Home Capital Group Inc.
HBM,TSX,HudBay Minerals Inc.
HBC,TSX,Hudson's Bay Company
HSE,TSX,Husky Energy Inc.
H,TSX,Hydro One Limited
IMG,TSX,Iamgold Corporation
IGM,TSX,IGM Financial Inc.
IMO,TSX,Imperial Oil Limited
IAG,TSX,Industrial Alliance Insurance and Financial Services Inc.
INE,TSX,Innergex Renewable Energy Inc.
IFC,TSX,Intact Financial Corporation
IPL,TSX,Inter Pipeline Ltd.
IFP,TSX,Interfor Corporation
ITP,TSX,Intertape Polymer Group Inc.
IVN,TSX,Ivanhoe Mines Ltd.
KEL,TSX,Kelt Exploration Ltd.
KEY,TSX,Keyera Corp.
KMP.UN,TSX,Killiam Apartment Real Estate Investment Trust
KXS,TSX,Kinaxis Inc.
KML,TSX,Kinder Morgan Canada
K,TSX,Kinross Gold Corporation
KL,TSX,Kirkland Lake Gold Ltd.
GUD,TSX,Knight Therapeutics Inc.
LIF,TSX,Labrador Iron Ore Royalty Corporation
LB,TSX,Laurentian Bank of Canada
LNR,TSX,Linamar Corporation
